,,CCS NO,IMO No,_id,入级状态,净吨,制造厂,制造日期,受热面积(m2),吃水(满载),呼号,垂线间长,型宽,型式,型深,夏季干舷,总吨,改建日期,数量,曾用名,机动非机动,核定干舷（A级）,核定干舷（B级）,核定干舷（C级）,核定干舷（J1）,核定干舷（J2）,水密横舱壁数,海河船,甲板层数,缸径,缸数,航区,航速,船体附加标志,船名,船检登记号,船级港,船舶入级符合,船舶制造厂,船舶完工日期,船舶归属类别,船舶总长,船舶所有人,船舶类型,船舶经营人,行程,设计压力(Mpa),货舱数,轮机入级符号,轮机附加标志,载运标准集装箱数量（货舱内）,载运标准集装箱数量（货舱舱口盖上）,载重吨,额定功率,额定转速
0,,15L6341,,5db84fff5235e74d289af138,建造入级,1426,常州市锅炉设备有限公司;常州市锅炉设备有限公司,18-5月 -15 03.00.00.000000 下午;22-6月 -15 03.00.00.000000 下午,75,5.6,BAPK,84.2,15,柴油机;柴油机,7.1,1009,2548,,1;1,,机动,,,,,,10,海船,1,230;230,6;6,近海,11.8,B级冰区航行;加强检验程序;双壳油船;近海航区;闪点>60℃;防污底系统,中燃38,2015N0001219,大连,★CSAD,台州枫叶船业有限公司,2015/10/30,国内航行入级船舶,87.7,中燃航运（大连）有限责任公司,油船（闪点>60℃）,中燃航运（大连）有限责任公司,300;300,1;1,12,★CSMD,驾驶室遥控,,,3709,960;960,900;900
1,,06Y6009,,5db850005235e74d289af139,建造入级,701,张家港格林沙洲锅炉有限公司,,155,3.6,,75,16.8,,5.2,1214,2339,,1,海星号,非机动,,,,,,4,海船,4,,,沿海,,在沿海海域内作业;近海航区;铰吸式挖泥船,丰永1号,2006B0000023,湛江,★CSAD,南通亚华船舶制造有限公司,2006/3/13,国内航行入级船舶,96.3,湛江市华翔建设工程有限公司,绞吸式挖泥船,湛江市华翔建设工程有限公司,,0.78,,,,,,,,
2,,05J6082,,5db850005235e74d289af13a,恢复船级,70,,21-1月 -05 03.00.00.000000 下午;21-1月 -05 03.00.00.000000 下午;21-1月 -05 03.00.00.000000 下午,,1.68,BRBE,43,6.8,柴油机;柴油机;柴油机,3.56,,236,,,海巡191,机动,,,,,,6,海船,1,130;130;130,12;12;12,近海,24,公务船;近海营运限制;高速单体船,海巡1003,2005N0000301,钦州,★CSAD,广州中船黄埔造船有限公司,2005/11/8,国内航行入级船舶,46.1,钦州海事局,巡逻船,钦州海事局,150;150;150,,,★CSMD,,,,,916;916;916,2230;2230;2230
3,,11J6319,,5db850015235e74d289af13b,保持船级,3105,,03-2月 -11 03.00.00.000000 下午;03-2月 -11 03.00.00.000000 下午,,4.55,---,101.8,16.2,柴油机;柴油机,5.3,,5545,,,港盛3500吨集散货船3#,机动,774,674,674,,674,8,河船,,170;170,8;8,A级,,A级航区、J2级航段;敞口集装箱船/双壳散货船,港盛1505,2011F0000946,重庆,★CSAD,重庆市祥利船舶制造有限公司,2011/11/8,国内航行入级船舶,106.2,重庆港盛船务有限公司,集装箱船,重庆港盛船务有限公司,200;200,,1,★CSMD,驾驶室遥控,,,,575;575,1350;1350
4,,08X6110,,5db850015235e74d289af13c,建造入级,173,,,,1.48,BKSZ4,43.6,6.8,柴油机;柴油机,3.3,,346,,,,机动,,,,,,4,海船,1,,,沿海航区营运限制,26,A类客船;单体高速船;沿海航区营运限制,宝陀,2008B0000248,舟山,★CSAD,武汉南华高速船舶工程股份有限公司,2008/7/28,国内航行入级船舶,48,舟山海星轮船有限公司,高速客船,舟山海星轮船有限公司,,,,★CSMD,,,,,1399;1399,
5,,13S6314,,5db850025235e74d289af13d,,435,无锡威力特船用锅炉有限公司;青岛船用锅炉厂有限公司,25-3月 -13 03.00.00.000000 下午;25-3月 -13 03.00.00.000000 下午,30.9;6.3,3.3,BAFA8,49,10.7,柴油机;柴油机,4.6,1308,778,,1;1,,机动,,,,,,6,海船,1,159;159,12;12,近海,12,"B级冰区航行;具有油回收设备和回收油贮存舱及排放设备的浮油回收船/双壳油船, 闪点>60°;近海航区",丹港环1,2013S0000699,丹东,★CSAD,丹东船舶重工有限公司,2013/11/29,国内航行入级船舶,52.9,丹东港集团有限公司,溢油(污油)回收船,丹东港集团有限公司,159;159,.55;1.1,4,★CSMD,,,,676,895;895,1800;1800
6,,05A6120,,5db850025235e74d289af13e,保持船级,1035,,27-7月 -05 12.00.00.000000 上午;27-7月 -05 12.00.00.000000 上午,,3.4,,80.03,14,柴油机;柴油机,4.2,,1593,2011/1/28,,,机动,1214,1214,1214,1214,1214,10,河船,1,170;170,6;6,A级,,A级航区、J1级航段;敞口集装箱船/双壳散货船,安吉806,2005D0000361,宜宾,★CSAD,国营重庆造船厂,2005/11/8,国内航行入级船舶,82.4,四川省宜宾五粮液集团安吉物流航运有限责任公司,集装箱船,四川省宜宾五粮液集团安吉物流航运有限责任公司,200;200,,1,★CSMD,,,,,220;220,1000;1000
7,,16D6109,,5db850035235e74d289af13f,保持船级,1532,江阴市三杰实业有限公司,15-3月 -15 12.00.00.000000 上午;15-3月 -15 12.00.00.000000 上午,62,4.8,,91.53,16.2,柴油机;柴油机,6,,2736,,1,,机动,1210,1210,,,1210,11,河船,1,170;170,8;8,A级,,"A级航区;J2级航段;不锈钢;化学品液货船（2型,2G）;最大压力0.022MPa;最大货物密度1025kg/m3;最高货物温度50℃;闪点≤60℃",文军2,2016B0000067,南京,★CSAD,镇江市安丰船业有限公司,2016/9/19,国内航行入级船舶,95,江苏程顺船务有限责任公司,化学品液货船,江苏程顺船务有限责任公司,200;200,0.8,14,★CSMD,驾驶室遥控,,,5077,601;601,1350;1350
8,,12A6017,,5db850045235e74d289af140,保持船级,3491,无锡威力特船用锅炉有限公司,,24,7.65,BALD,109,19,,10.7,3061,6235,,1,9500DWT成品油船,机动,,,,,,9,海船,1,,,近海,11.5,B级冰区航行;加强检验程序;双壳油船 闪点≤60℃;近海航区,海德油9,2012J0000038,大连,★CSAD,江西华东船业有限公司,2012/2/16,国内航行入级船舶,116.3,大连德利海运有限公司,油船（闪点≤60℃）,大连德利海运有限公司,,0.8,8,★CSMD,,,,,2574,
9,,16M6140,,5db850045235e74d289af141,保持船级,50,,15-5月 -15 12.00.00.000000 上午;15-5月 -15 12.00.00.000000 上午,,1.2,,24.2,5.6,柴油机;柴油机,2.1,,101,,,,机动,,,,,,3,海船,1,126;126,6;6,沿海航区营运限制,16.2,A类客船;沿海营运限制;高速单体船,唐山湾15,2016M0000284,唐山,★CSAD,常州玻璃钢造船厂有限公司,2016/3/7,国内航行入级船舶,27.18,唐山湾国际旅游岛旅游发展有限公司,高速客船,唐山湾国际旅游岛旅游发展有限公司,155;155,,,★CSMD,,,,15,405;405,2100;2100
