,IMO No,_id,上层建筑及甲板室,下次特检日期,主机型式*数量,主机建造厂,主机建造时间,主机缸数*缸径*功率*转速,净吨位,压载,发电机*功率*电压*数,各货舱容积,垂线间长,型宽,型深,干舷,平均吃水,总吨位,曾用名,甲板层数,管理公司,舱口数及舱口尺度,舱壁数,船东,船体入级符号,船体附加标志,船名(中文),船名(英文),船旗国,船籍港,船舶呼号,船舶建造厂,船舶建造地点,船舶建造时间,船舶总长,船舶登记号/船检号,船舶类型及用途,船速,货舱总容积,货舱数,"起货设备类型,安全负荷,数量",轮机入级符号,轮机附加标志,载重吨,重大改建情况,重大改建部位的建造日期,锅炉建造厂,锅炉建造时间,锅炉数*压力*受热面积,集装箱数*规格
0,9069073,5db846da5235e74d2c32db01,"Deckhouse:14.4,Poop:21.6",2020/9/22,6300ZCD-1*2;,"Guangzhou Diesel Engine Factory, China",1999/8/1,6*300*441.00*400.00,363,129,DKBH-4320/04*220.00*400*2; SB-HT-TH*30.00*400*1;,Mud cargo hold*(G1032.00),59.8,12,5.4,,4.6,"1,210",,1,"Guangdong Zhuhai Power Station Co., Ltd.",1*24 x 7.2,"6; Fr.nos.4,14,36,76,90,93","Guangdong Zhuhai Power Station Co., Ltd.",★CSA,Dredging Within Sheltered Water Service;R2,珠电浚1,ZHU DIAN JUN 1,China,Zhuhai,,Guangzhou Huangpu Shipyard,China,2000/5/17,63.88,00A1012,Trailing Suction Dredger,8,1032.00 M3,1,,★CSM,,"1,894",,,,,,ho:1
1,9239422,5db846db5235e74d2c32db02,"Deckhouse:14.4,Forecastle:28.8",2020/11/15,6DKM-28*1; 6DKM-28L*1;,Daihatsu Diesel Mfg. Co. Ltd. Moriyama Factory,1999/12/8,6*280*1640*750.00,420,371,FEK45DL-4*1000*400*2; IFC5454-8TA42*400*400*1; IFC5454-8TA42*800.00*400*1;,,57.2,13.2,6.2,712,5,"1,401",,"1,Upper deck",Guangzhou Salvage,,"8,Frm.Nos .-3,5,21,39,60,70,78,88",Guangzhou Salvage,★CSA,Ice Class B;Offshore Supply Ship;Oil Recovery Ship B;Rescue Ship,德鹏,DE PENG,China,Guangzhou,BSFS,Donghai Shipyard,China,2000/11/16,65.3,00A4002,Tug,14,-,0,,★CSM,BRC+MCC,"1,002",,,Qingdao Marine Boiler Factory,2000/1/1,1*0.7*18.54 m2,ho:1
2,9223758,5db846dc5235e74d2c32db03,"Deckhouse:15.01,Forecastle:16.8",2020/4/23,B&W6L70MC*1;,"Shanghai Shipyard, China",1999/10/1,6*700*16980.00*108.00,"9,379",8446,IFC6564-8SA82*960.00*450*3;,"Containers on deck
;No.1 cargo hold
;No.2 cargo hold
;No.3 cargo hold
;No.4 cargo hold
;No.5 cargo hold",167,27.6,15.9,2514,10.64,"20,569",,,"COSCO SHIPPING LINES CO.,LTD","1*; 3*2x12.64x23.2; 1*12.64x23.2; 1*12.64x18.072/13.556,12.64x23","7,Frm Nos.19,54,91,127,163,200,206","COSCO SHIPPING LINES CO.,LTD",★CSA,"Ice Class B;Loading Computer  (S,I,D)",腾云河,TENG YUN HE,China,Shanghai,BOTV,Shanghai Shipyard,China,2000/4/24,179.7,00B2002,Container Ship,20.2,-,6,"Crane,5.0,1;Crane,4.0,2",★CSM,AUT-0;CMS,"25,648",,,Shazhou Marine Boiler Factory,,1*0.7*25/257 m2,dk:750;ho:776
3,9239824,5db846dd5235e74d2c32db04,Forecastle:6,2020/10/12,KTA19-M*2;,Chongqing Cummins Engine Company Ltd.China,2008-09-27; 2008-10-08,6*159*339*1744,538,484,SB-HT-24*24.00*400*1; SB-HT-40*40.00*400*1; SB-HT-50*50.00*400*1;,"No.1 cargo oil tank (Port)*(G234.20)*(B234.20)
;No.1 cargo oil tank (Starboard)*(G234.20)*(B234.20)
;No.2 cargo oil tank (Port)*(G242.40)*(B242.40)
;No.2 cargo oil tank (Starboard)*(G242.40)*(B242.40)
;No.3 cargo oil tank (Port)*(G242.40)*(B242.40)
;No.3cargo oil tank (Starboard)*(G242.40)*(B242.40)
;No.4 cargo oil tank (Port)*(G245.40)*(B245.40)
;No.4cargo oil tank (Starboard)*(G245.40)*(B245.40)",58.6,12,4.2,608,3.6,997,DONG GUI 2,1; upper deck,"Zhejiang Dongrun Shipping Co.,Ltd.",8*Dia.1.0,10 Fr. No.1;3;21;37.5;54;70.5;87;89;93,"Zhejiang Dongrun Shipping Co.,Ltd.",★CSA,"ESP;F.P. ≤ 60℃;Loading Computer (I,D);R2;Type 3",东润266,DONG RUN 266,China,Zhoushan,,Guangxi Wuzhou Shipyard,China,2000/10/13,63,00B4003,Chemical/Oil Tanker,8.5,1928.80/1928.80 M3,8,,★CSM,,"1,714","Main propulsion plant(main engine,gearbox,shaft and propeller)",2009/2/1,,,,ho:1
4,9175444,5db846de5235e74d2c32db05,"Deckhouse:20.65,Forecastle:12.95,Poop:30.4",2020/6/25,6S50MC-MK6*1;,"Shanghai Shipyard,China",1998/10/28,6*500*7550.00*116.00,"8,766",6786,IFC5-502-STA82*500.00*450*3;,"No.1 Cargo Hold*(G6109.50)*(B5854.40)
;No.2 Cargo Hold*(G9189.70)*(B9078.00)
;No.3 Cargo Hold*(G9328.80)*(B9217.10)
;No.4 Cargo Hold*(G7276.60)*(B7204.40)",158,25.2,14.1,4120,10.02,"15,589",,2,"COSCO Shipping Specialized Carriers Co., Ltd.","2*2,25.6X7.90; 1*2,19.2X7.90; 1*1,16.80x9.00","6&Fr.12,36,71,113,155,191","COSCO Shipping Specialized Carriers Co., Ltd.",★CSA,"Ice Class B;Loading Computer (S, I, G);Strengthened for Heavy Cargoes",乐同,LE TONG,China,Guangzhou,BOQD,Wuhu Shipyard,China,2000/6/26,169,00C2003,General Dry Cargo Ship,18,31353.90/31904.60 M3,4,"Crane,40,1;Crane,15,2",★CSM,AUT-0,"22,278",,,Aalborg ( Qingdao ) Boiler Co. Ltd.,,1*0.6*30.7/263.7 m2,ho:1
5,9189213,5db846e05235e74d2c32db06,"Deckhouse:21.3,Forecastle:19.64",2020/5/22,MAN B&W 7S50MC-C*1;,"Mitsui Engineering & Shipbuilding Co.Ltd.Tamano Works, Japan",1999/1/1,7*500*9120*105,"25,272",5849,NTAKL*420*450*3;,"No.1 cargo hold*(G12343.20)
;No.2 cargo hold*(G12919.50)
;No.3 cargo hold*(G12835.20)
;No.4 cargo hold*(G12824.60)
;No.5 cargo hold*(G12940.10)
;No.6 cargo hold*(G12920.80)
;No.7 cargo hold*(G12504.10)",216,32.26,19.25,5369,13.93,"39,996",FORTUNE EAST,"1, upper deck","Ningbo Tianhao Shipping Co., Ltd.",1*17.6X12.8; 6*16.8X16,"8/Fr.37,68,99,130,161,192,223,256","Ningbo Tianhao Shipping Co., Ltd.",★_CSA,"ESP;Holds Nos.2, 4 & 6 may be Empty;Loading Computer (S, I, G);Strengthened for Heavy Cargoes",天浩 17,TIAN HAO 17,China,Ningbo,BQYI,"Mitsui Engineering & Shipbuilding Co.,Ltd.,Chiba Works",Japan,2000/5/23,225,00C2026,Bulk Carrier,14.5,89287.50 M3,7,"Crane,2,1;Crane,4,1",★_CSM_,AUT-0;CMS,"75,615",,,"Osaka Boiler Mfg. Co., Ltd., Japan",,1*0.6*27/206 m2,
6,-,5db846e15235e74d2c32db07,Deckhouse:10086,2022/12/26,6CTA8.3-M*2;,Cummins Engine Co. Ltd.,1999/11/6,6*114*237.00*2300.00,10,,G-8M-3*6.00*220*1;,,13.54,4.7,2.4,1700,,33,,"1,main deck",Sea-Dragon Marine Services Pte. Ltd.,,"3,Fr.No.2,10,16",Sea-Dragon Marine Services Pte. Ltd.,★_CSA,30 mile limit voyages within Singapore,,SEA-DRAGON 9,Singapore,Singapore,,JS Marine Technology Pte. Ltd.,Singapore,2000/8/10,15.65,00C3015,Traffic Boat,,-,0,,★_CSM___,,10,,,,,,
7,9192686,5db846e25235e74d2c32db08,"Deckhouse:19.5,Forecastle:12.7",2020/8/12,5RTA48T*1;,"Shanghai Hudong Heavy Machinery Shangchuan Diesel Co., Ltd., China",2000/4/1,5*2000*6300.00*120,"9,412",9947,IFC6502-8SA82*560.00*450*3;,"No.1 Cargo hold*(G3649.44)*(B3931.61)
;No.2 Cargo hold*(G9479.47)*(B9975.35)
;No.3 Cargo hold*(G9598.05)*(B9975.35)
;No.4 Cargo hold*(G7482.29)*(B7835.82)
;No.5 Cargo hold*(G5946.45)*(B6035.90)",174,26.2,14.7,4730,10,"19,955",,"2, Upper deck, tween deck","COSCO Shipping Specialized Carriers Co., Ltd.",1*24.80x20.20; 1*24.80x20.2; 1*19.20x20.20; 1*19.20x13.40/18.60; 1*12.8x17.5/12.5,"8, Fr.10,35,67,100,142,184,207,212","COSCO Shipping Specialized Carriers Co., Ltd.",★CSA,"Equipped with Container Securing Arrangement;Holds Nos. 2 & 4 may be Empty;Ice Class B;Loading Computer (S, I, G);Strengthened for Heavy Cargoes",乐从,LE CONG,China,Guangzhou,BOKU,"Guangzhou Shipyard International Co., Ltd.",China,2000/12/1,182.67,00C4004,General Dry Cargo Ship,14,37754.03/36155.70 M3,5,"Crane,70,2;Crane,35.0,5",★CSM,AUT-0,"29,108",,,Aalborg ( Qingdao ) Boiler Co. Ltd.,,1*0.7*/201 m2;1*0.7*21.6 m2,dk:494;ho:595
8,9256092,5db846e35235e74d2c32db09,"Deckhouse:12.65,Forecastle:7.98",2020/5/13,8190ZLC-2*1;,"Jinan Diesel Engine Co., Ltd.China",2006/7/8,8*190*500*1000.00,77,,TFX-225M4-H*75.00*400*2;,"No.1 Cargo Hold*(G127.73)
;No.2 Cargo Hold*(G174.36)",41,6.6,3.3,756,,205,,"1, upper deck","Dalian Ren Cheng Seafood Co., Ltd.",2*2.2x2.2,"5, Fr.Nos. 2, 27, 44, 63, 68",Dalian Haiyangdao Fisheries Group Co. Ltd.,★CSA,,连通,LIAN TONG,China,Dalian,BAHL,"Shandong Huanghai Shipbuilding Co., Ltd.",China,2000/5/14,44.89,00D2004,Aquatic Product Carrier,14.5,302.09 M3,2,,★CSM,,167,,,,,,ho:
9,9208150,5db846e45235e74d2c32db0a,"Forecastle:15.4,Poop:17.6",2020/2/28,7S60MC-C*1;,"Hitachi Zosen Diesel Engine Co., Ltd.",1999/7/11,7*600*14215*101.5,"6,636",10596,FE45CS-8*880*450*3;,"Cargo Hold No.1
;Cargo Hold No.2
;Cargo Hold No.3
;Cargo Hold No.4
;Cargo Hold No.5",180,28,14.1,2011,9.5,"17,751",WAN HAI 231,"2, Upper/ 2nd Deck",Wan Hai Lines(S) Ltd.,1*12.60X8.10X2;12.60X5.50X2; 1*12.60X8.10X2; 3*12.60X10.60X2,9; Frs.47/ 87/ 126/ 165/ 204/ 224/ 237,Wan Hai Lines(S) Ltd.,★_CSA,"Loading Computer (S, I)",,WAN HAI 231,Singapore,Singapore,S6EN9,"Naikai Zosen Corporation, Hiroshima",Japan,2000/2/10,191.45,00E1016,Container Ship,21,-,5,"Elevator,0.318,1;Crane,0.9,2;Crane,2.0,2",★_CSM_,AUT-0;CMS,"21,052",,,Osaka Boiler,,1*0.6*25/319 m2,dk:1100(20')/524(40');ho:560(20')/270(40')
