,CJDJH,GROSS,ROWNUM_,SEA_INLAND,SHIPNAME_CN,SHIP_OPERATOR,SHIP_OWNER,SPTYPE,_id
0,2015N0001219,2548,,海船,中燃38,中燃航运（大连）有限责任公司,中燃航运（大连）有限责任公司,油船（闪点>60℃）,5db846de5235e701bc7c089f
1,2006B0000023,2339,,海船,丰永1号,湛江市华翔建设工程有限公司,湛江市华翔建设工程有限公司,绞吸式挖泥船,5db846de5235e701bc7c08a0
2,2005N0000301,236,,海船,海巡1003,钦州海事局,钦州海事局,巡逻船,5db846de5235e701bc7c08a1
3,2011F0000946,5545,,河船,港盛1505,重庆港盛船务有限公司,重庆港盛船务有限公司,集装箱船,5db846de5235e701bc7c08a2
4,2008B0000248,346,,海船,宝陀,舟山海星轮船有限公司,舟山海星轮船有限公司,高速客船,5db846de5235e701bc7c08a3
5,2013S0000699,778,,海船,丹港环1,丹东港集团有限公司,丹东港集团有限公司,溢油(污油)回收船,5db846de5235e701bc7c08a4
6,2005D0000361,1593,,河船,安吉806,四川省宜宾五粮液集团安吉物流航运有限责任公司,四川省宜宾五粮液集团安吉物流航运有限责任公司,集装箱船,5db846de5235e701bc7c08a5
7,2016B0000067,2736,,河船,文军2,江苏程顺船务有限责任公司,江苏程顺船务有限责任公司,化学品液货船,5db846de5235e701bc7c08a6
8,2012J0000038,6235,,海船,海德油9,大连德利海运有限公司,大连德利海运有限公司,油船（闪点≤60℃）,5db846de5235e701bc7c08a7
9,2016M0000284,101,,海船,唐山湾15,唐山湾国际旅游岛旅游发展有限公司,唐山湾国际旅游岛旅游发展有限公司,高速客船,5db846de5235e701bc7c08a8
10,2013Q0000720,2983,,海船,富海油3,广西振海船务有限公司,珠海市旺通船务有限公司,油船（闪点≤60℃）,5db846de5235e701bc7c08a9
11,2010C0000589,33511,,海船,新世纪188,神华中海航运有限公司,神华中海航运有限公司,散货船,5db846de5235e701bc7c08aa
12,2010M0000529,15819,,海船,浙海157,浙江省海运集团有限公司,交银金融租赁有限责任公司,散货船,5db846de5235e701bc7c08ab
13,2016R0000334,446,,海船,连船5,大连船舶重工集团有限公司,大连船舶重工集团有限公司,普通拖船,5db846de5235e701bc7c08ac
14,2011W5100130,15,,海船,中国海关3036,中华人民共和国江门海关,中华人民共和国江门海关,巡逻船,5db846de5235e701bc7c08ad
15,2019T0000524,369,,海船,浙港航巡1101,舟山市港航管理局,舟山市港航管理局,巡逻船,5db846de5235e701bc7c08ae
16,2007Q0000114,414,,海船,北部湾拖9,北部湾拖船（防城港）有限公司,北部湾拖船（防城港）有限公司,普通拖船,5db846de5235e701bc7c08af
17,2007G0000290,2256,,海船,远东荣盛,惠州华亿荣盛船务有限公司,天津信原融资租赁有限公司,化学品液货船,5db846de5235e701bc7c08b0
18,2016E0001427,169,,海船,古崎洲1号,海南蜈支洲旅游开发股份有限公司,海南蜈支洲旅游开发股份有限公司,港用囤船,5db846de5235e701bc7c08b1
19,2012M0000938,2952,,海船,国扬67,-,-,油船（闪点≤60℃）,5db846de5235e701bc7c08b2
20,2009T0000043,367,,河船,振华拖19,上海振华重工（集团）股份有限公司,上海振华重工（集团）股份有限公司,普通拖船,5db846de5235e701bc7c08b3
21,2002H0000085,6785,,海船,粤骅,神华中海航运有限公司,神华中海航运有限公司,散货船,5db846de5235e701bc7c08b4
22,2013D0000295,2325,,河船,振兴油98号,九江振鑫船务有限公司,九江振鑫船务有限公司,油船（闪点≤60℃）,5db846de5235e701bc7c08b5
23,2001K0000193,1723,,河船,民康,宜昌民康船务有限责任公司,宜昌民康船务有限责任公司,川江滚装船,5db846de5235e701bc7c08b6
24,2015L0000826,2709,,河船,华通油78,泰州市华通船务有限公司,泰州市华通船务有限公司,油船（闪点≤60℃）,5db846de5235e701bc7c08b7
25,2010J0000342,2147,,海船,民龙6001,舟山市泓宇海运有限公司,舟山市泓宇海运有限公司,供应船,5db846de5235e701bc7c08b8
26,2007G0000428,5399,,海船,康海裕洋,南通康海船务有限公司,南通康海船务有限公司,散货船,5db846de5235e701bc7c08b9
27,2011Q0000403,3934,,海船,华瑞55,华瑞物流股份有限公司,华瑞物流股份有限公司,一般干货船,5db846de5235e701bc7c08ba
28,2009F0000284,15824,,海船,长恒海,武汉长航新凤凰物流有限责任公司,武汉长航新凤凰物流有限责任公司,散货船,5db846de5235e701bc7c08bb
29,2007X0000052,3748,,海船,集海之明,上海集海航运有限公司,上海集海航运有限公司,集装箱船,5db846de5235e701bc7c08bc
30,2007L0000087,3353,,海船,交通建设四号,中交疏浚（集团）股份有限公司,中交疏浚（集团）股份有限公司,工程船,5db846de5235e701bc7c08bd
